word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
clit	1	0	0	1	1	0
fuck	0	1	1	0	1	0
ass	1	0	0	0	1	0
asshole	1	0	0	0	1	0
b17ch	1	0	1	0	1	1
b1tch	1	0	0	0	1	0
bastard	1	0	0	0	1	0
c0ck	1	0	0	0	1	0
cawk	1	0	0	0	1	0
clits	1	0	0	0	1	0
cock	1	1	1	1	1	0
cum	1	0	0	1	1	1
willy	1	0	0	0	1	0
sket	1	0	0	0	1	0
skank	1	0	0	0	1	0
faggot	1	0	1	0	1	0
fanny	1	0	0	1	1	0
cunt	1	0	1	1	1	0
dildo	1	1	1	0	1	0
ejakulate	1	0	0	0	1	0
fatass	1	0	1	0	1	0
fcuk	1	0	0	0	1	0
fuk	1	0	1	0	1	1
fux0r	1	0	0	0	1	0
hoer	1	0	0	0	1	0
hore	1	0	0	0	1	0
jism	1	0	0	1	1	0
kawk	1	0	0	0	1	0
lesbian	1	1	1	0	1	0
masturbate	0	1	1	1	1	0
masterbat3	0	0	1	0	1	0
motherfucker	0	0	1	0	1	0
mofo	1	0	0	0	1	1
nazi	1	0	0	0	1	0
nigga	1	0	0	0	1	0
nigger	1	0	0	0	1	0
nutsack	1	0	0	0	1	0
phuck	1	0	0	0	1	0
pimpis	1	0	0	0	1	0
pusse	1	0	0	1	1	0
pussy	1	0	0	1	1	0
scrotum	1	1	1	0	1	0
sex	1	0	1	1	1	0
sexy	1	0	1	0	1	0
sexi	1	0	1	0	1	0
shemale	1	0	0	0	1	0
shit	1	0	0	0	1	0
slut	1	0	0	0	1	0
smut	1	0	0	0	1	0
teets	1	0	0	0	1	0
tits	1	0	0	1	1	0
boobs	1	0	1	0	1	0
b00bs	1	0	0	0	1	0
teez	1	0	0	0	1	0
testical	1	1	1	0	1	0
testicle	1	1	1	0	1	0
titt	1	0	0	0	1	0
w00se	1	0	0	0	1	0
jackoff	1	0	1	0	1	1
wank	1	0	0	0	1	0
whore	1	1	1	0	1	0
ass lick	1	0	0	0	1	0
asses	1	0	0	0	1	0
assholes	1	0	0	0	1	0
asskisser	1	0	0	0	1	0
asswipe	1	0	0	0	1	0
balls	1	0	0	1	0	0
beastial	1	0	0	0	1	0
beastiality	1	0	0	0	1	0
beastility	1	0	0	0	1	0
beaver	0	0	0	1	0	0
bestial	1	0	0	0	1	0
bestiality	1	0	0	0	1	0
bitcher	1	0	0	0	1	0
bitchers	1	0	0	0	1	0
bitches	1	0	0	0	1	0
bitchin	1	0	0	0	1	0
bitching	1	0	0	0	1	0
blow job	1	0	0	0	1	0
blowjobs	1	0	0	0	1	0
bonehead	1	0	0	0	1	0
boner	1	0	1	0	1	0
browneye	1	0	1	0	1	1
bull shit	1	0	1	0	1	0
bullshit	1	0	1	0	1	0
bum	1	0	0	1	0	0
bung hole	1	0	0	0	1	0
butch	1	0	0	0	1	0
butt	1	0	1	1	1	1
butt breath	1	0	0	0	1	0
butt fucker	1	0	0	0	1	0
butt hair	1	0	0	0	1	0
buttface	1	0	0	0	1	0
buttfuck	1	0	0	0	1	0
buttfucker	1	0	0	0	1	0
butthead	1	0	0	0	1	0
butthole	1	0	0	0	1	0
buttpicker	1	0	0	0	1	0
circle jerk	1	0	0	0	1	0
cocks	1	0	0	1	1	0
cocksuck	1	0	0	0	1	0
cocksucked	1	0	0	0	1	0
cocksucker	1	0	1	0	1	0
cocksucking	1	0	0	0	1	0
cocksucks	1	0	0	0	1	0
cooter	1	0	0	1	1	0
crap	1	0	0	0	1	0
cummer	1	0	0	0	1	0
cumming	1	0	0	0	1	0
cums	1	0	0	0	1	0
cumshot	1	0	0	0	1	0
cunilingus	1	0	0	1	1	0
cunillingus	1	0	0	1	1	0
cunnilingus	1	0	0	0	1	0
cuntlick	1	0	0	0	1	0
cuntlicker	1	0	0	0	1	0
cuntlicking	1	0	0	0	1	0
cunts	1	0	0	0	1	0
cyberfuc	1	0	0	1	1	0
cyberfuck	1	0	0	1	1	0
cyberfucked	1	0	0	1	1	0
cyberfucker	1	0	0	0	1	0
cyberfuckers	1	0	0	0	1	0
cyberfucking	1	0	0	0	1	0
damn	1	0	0	0	1	0
dick	1	0	1	0	1	0
dike	1	0	1	0	1	1
dildos	1	0	0	0	1	0
dink	1	0	1	0	1	1
dinks	1	0	1	0	1	1
dipshit	0	0	1	0	1	0
dong	1	0	0	0	1	0
douche bag	1	0	0	0	1	0
dumbass	1	0	0	0	1	0
dyke	1	0	1	0	1	1
ejaculate	1	1	1	1	1	0
ejaculated	1	0	0	1	1	0
ejaculates	1	0	0	1	1	0
ejaculating	1	0	0	1	1	0
ejaculatings	1	0	0	1	1	0
ejaculation	1	0	1	1	1	1
fag	1	0	1	0	1	1
fagget	1	0	0	0	1	0
fagging	1	0	0	0	1	0
faggit	1	0	0	0	1	0
faggs	1	0	0	0	1	0
fagot	1	0	0	0	1	0
fagots	1	0	0	0	1	0
fags	1	0	0	0	1	0
fatso	1	0	1	0	1	0
felatio	1	0	0	1	1	0
fellatio	1	0	0	1	1	0
fingerfuck	1	0	0	0	1	0
fingerfucked	1	0	0	0	1	0
fingerfucker	1	0	0	0	1	0
fingerfuckers	1	0	0	0	1	0
fingerfucking	1	0	0	0	1	0
fingerfucks	1	0	0	0	1	0
fistfuck	1	0	0	1	1	0
fistfucked	1	0	0	1	1	0
fistfucker	1	0	0	0	1	0
fistfuckers	1	0	0	0	1	0
fistfucking	1	0	0	0	1	0
fistfuckings	1	0	0	0	1	0
fistfucks	1	0	0	0	1	0
fucked	1	0	0	0	1	0
fucker	1	0	1	0	1	1
fuckers	1	0	0	0	1	0
fuckin	1	0	0	0	1	0
fucking	1	0	0	0	1	0
fuckings	1	0	0	0	1	0
fuckme	1	0	0	0	1	0
fucks	1	0	0	0	1	0
fuks	1	0	0	0	1	0
gangbang	1	0	0	0	1	0
gangbanged	1	0	0	0	1	0
gangbangs	1	0	0	0	1	0
gaysex	1	0	1	0	1	0
gazongers	1	0	0	0	1	0
goddamn	1	0	1	0	1	0
gonads	1	0	0	0	1	0
guinne	1	0	0	0	1	0
hardcoresex	1	0	1	0	1	0
homo	1	0	0	0	1	0
hooker	1	0	0	0	1	0
horniest	1	0	0	0	1	0
horny	1	0	0	1	1	0
hotsex	1	0	1	0	1	0
hussy	1	0	0	0	1	0
jackoff	1	0	1	1	1	1
jack-off	1	0	1	1	1	1
jackass	1	0	1	0	1	1
jacking off	1	0	1	0	1	0
jap	1	0	1	0	1	1
jerk-off	1	0	1	0	1	1
jiz	1	0	1	1	1	1
jizm	1	0	1	1	1	1
jizz	1	0	1	1	1	1
kike	1	0	1	0	1	0
kock	1	0	0	0	1	0
kondum	1	0	0	0	1	0
kondums	1	0	0	0	1	0
kraut	1	0	0	0	1	0
kum	1	0	1	0	1	0
kummer	1	0	0	0	1	0
kumming	1	0	0	0	1	0
kums	1	0	0	0	1	0
kunilingus	1	0	0	0	1	0
lesbo	1	0	0	0	1	1
mofo	1	0	0	0	1	1
mo fo	1	0	0	0	1	1
mf'er	1	0	0	0	1	1
mothafuck	1	0	0	0	1	0
mothafucka	1	0	0	0	1	0
mothafuckas	1	0	0	0	1	0
mothafuckaz	1	0	0	0	1	0
mothafucked	1	0	0	0	1	0
mothafucker	1	0	0	0	1	0
mothafuckers	1	0	0	0	1	0
mothafuckin	1	0	0	0	1	0
mothafucking	1	0	0	0	1	0
mothafuckings	1	0	0	0	1	0
mothafucks	1	0	0	0	1	0
motherfuck	1	0	0	0	1	0
motherfucked	1	0	0	0	1	0
motherfuckers	1	0	0	0	1	0
motherfuckin	1	0	0	0	1	0
motherfucking	1	0	0	0	1	0
motherfuckings	1	0	0	0	1	0
motherfucks	1	0	0	0	1	0
muff	1	0	0	0	1	0
niggers	1	0	0	0	1	0
orgasim	1	0	0	0	1	0
orgasims	1	0	0	0	1	0
orgasm	0	0	1	1	1	0
orgasms	1	0	0	0	1	0
pecker	1	0	0	0	1	0
penis	1	1	1	0	1	0
phonesex	1	0	1	1	1	0
phuk	1	0	0	0	1	0
phuked	1	0	0	0	1	0
phuking	1	0	0	0	1	0
phukked	1	0	0	0	1	0
phukking	1	0	0	0	1	0
phuks	1	0	0	0	1	0
phuq	1	0	0	0	1	0
pimp	1	0	0	0	1	0
piss	1	0	0	0	1	1
pissed	1	0	0	0	1	0
pissers	1	0	0	0	1	0
pisses	1	0	0	0	1	0
pissin	1	0	0	0	1	0
pissing	1	0	0	0	1	0
pissoff	1	0	0	0	1	0
prick	1	0	0	0	1	0
pricks	1	0	0	0	1	0
pussies	1	0	0	1	1	0
pussys	1	0	0	0	1	0
queer	1	0	0	0	1	0
retard	1	0	0	0	1	0
schlong	1	0	0	0	1	0
screw	1	0	0	1	1	0
sheister	1	0	0	0	1	0
shited	1	0	0	0	1	0
shitfull	1	0	0	0	1	0
shiting	1	0	0	0	1	0
shitings	1	0	0	0	1	0
shits	1	0	0	0	1	0
shitted	1	0	0	0	1	0
shitter	1	0	0	0	1	0
shitters	1	0	0	0	1	0
shitting	1	0	0	0	1	0
shittings	1	0	0	0	1	0
shitty	1	0	0	0	1	0
slag	1	0	0	0	1	0
sleaze	1	0	0	0	1	0
sluts	1	0	0	0	1	0
snatch	1	0	0	1	0	0
spunk	1	0	0	1	1	0
twat	1	0	0	1	1	0
kidnapper	1	1	1	1	0	1
kid napper	1	0	1	0	1	0
can you come over my house	1	0	1	1	1	0
can you come over to my house	1	0	0	1	1	0
wetback	1	0	0	0	1	0
bitch	1	1	1	0	1	0
blowjob	0	1	1	1	1	0
fuck	0	1	1	0	1	0
asshole	1	0	0	0	1	0
motherfucker	0	0	1	0	1	0
nazi	1	0	0	0	1	0
nigga	1	0	0	0	1	0
nigger	1	0	0	0	1	0
pussy	1	1	1	0	1	0
sexy	1	0	1	0	1	0
sexi	1	0	1	0	1	0
webcam	0	0	1	1	1	0
shit	1	0	0	0	1	0
Rape	1	0	1	1	1	0
Suck	1	0	0	1	0	0
Hoe	1	0	0	0	1	0
breasts	1	0	0	1	1	0
biches	1	0	1	0	1	0
@SS	1	0	1	0	1	1
fück	1	0	0	0	1	0
Bottle Guy	1	1	1	0	1	0
Vomit Girl	1	1	1	0	1	0
Nut Abuse	1	1	1	0	1	0
Suck Dude	1	1	1	0	1	0
TubGirl	1	1	1	0	1	0
porn	1	1	1	1	1	0
lemonparty	1	1	1	0	1	0
virgin	1	0	0	1	1	0
vagina	1	1	1	1	1	0
sperm	1	1	1	1	1	0
cannabis	1	1	1	0	1	0
kill myself	1	1	1	0	1	0
alcohol	1	1	0	0	1	0
weed	1	1	0	0	1	0
marijuana	1	1	1	0	1	0
cocain	1	1	1	0	1	0
hash	1	1	1	0	1	0
drunk	1	1	1	0	1	0
kill	1	0	0	1	0	1
killing	1	0	1	1	0	0
killer	1	0	0	1	0	0
§ex	1	1	1	0	1	1
§exy	1	0	1	0	1	1
cex	1	0	1	0	1	1
sseexx	1	0	0	0	1	1
ssexx	1	0	1	0	1	0
sseexxx	1	0	0	0	1	1
£ex	1	0	1	0	1	1
£eex	1	0	1	0	1	1
dik	1	0	1	0	1	1
bich	1	0	1	0	1	1
bicht	1	0	0	0	1	0
