word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
b17ch	1	0	1	0	1	1
dildo	1	1	1	0	1	0
masturbate	0	1	1	1	1	0
bitches	1	0	0	0	1	0
blow job	1	0	0	0	1	0
blowjobs	1	0	0	0	1	0
cuntlicking	1	0	0	0	1	0
ejaculate	1	1	1	1	1	0
gangbang	1	0	0	0	1	0
gaysex	1	0	1	0	1	0
hardcoresex	1	0	1	0	1	0
penis	1	1	1	0	1	0
bitch	1	1	1	0	1	0
blowjob	0	1	1	1	1	0
fuck	0	1	1	0	1	0
asshole	1	0	0	0	1	0
motherfucker	0	0	1	0	1	0
nazi	1	0	0	0	1	0
nigga	1	0	0	0	1	0
nigger	1	0	0	0	1	0
pussy	1	1	1	0	1	0
sexy	1	0	1	0	1	0
sexi	1	0	1	0	1	0
webcam	0	0	1	1	1	0
shit	1	0	0	0	1	0
@SS	1	0	1	0	1	1
Bottle Guy	1	1	1	0	1	0
Vomit Girl	1	1	1	0	1	0
Nut Abuse	1	1	1	0	1	0
Suck Dude	1	1	1	0	1	0
TubGirl	1	1	1	0	1	0
porn	1	1	1	1	1	0
lemonparty	1	1	1	0	1	0
vagina	1	1	1	1	1	0
sperm	1	1	1	1	1	0
cannabis	1	1	1	0	1	0
kill myself	1	1	1	0	1	0
§ex	1	1	1	0	1	1
§exy	1	0	1	0	1	1
£ex	1	0	1	0	1	1
£eex	1	0	1	0	1	1
bitsh	1	0	0	0	1	0
bitsch	1	0	0	0	1	0
b@stard	1	0	0	0	1	0
ustream	1	0	0	0	1	0
redtube	1	0	0	0	1	0
youporn	1	0	0	0	1	0
pornhub	1	0	0	0	1	0
pornsite	1	0	0	0	1	0
sexyness	1	0	1	0	1	0
gayporn	1	0	0	0	1	0
lesbianporn	0	0	1	0	1	0
analsex	1	0	1	0	1	0
pedophil	0	0	1	0	1	0
suicide	1	1	1	0	1	0
suicidal	1	0	0	0	1	0
xnxx	1	1	0	0	1	0
penisbot	1	0	0	0	1	0
teenporn	1	0	0	0	1	0
hardsex	1	0	1	0	1	0
xhamster	1	0	0	0	1	0
sexual	1	1	1	0	1	0
bisexual	1	1	1	0	1	0
blowme	1	1	0	0	1	0
bulshit	1	0	1	0	1	0
cocaine	1	1	0	0	1	0
fawk	1	1	0	0	1	0
breast	1	1	0	1	1	0
pinkworld	1	0	0	0	1	0
red tube	1	0	0	0	1	0
you porn	1	0	0	0	1	0
you-porn	1	0	0	0	1	0
tube8	1	0	0	0	1	0
cfreeporn	1	0	0	0	1	0
x-hamster	1	0	0	0	1	0
youjizz	1	0	0	0	1	0
pichunter	1	0	0	0	1	0
freeporn	1	0	0	0	1	0
freefuckvidz	1	0	0	0	1	0
fuckvidz	1	0	0	0	1	0
xvideos	1	0	0	0	1	0
x-videos	1	0	0	0	1	0
gonzoxxx	1	0	0	0	1	0
gonzoxxxmovies	1	0	0	0	1	0
elephanttube	1	0	0	0	1	0
x3xtube	1	0	0	0	1	0
tommys-bookmarks	1	0	0	0	1	0
spankwire	1	0	0	0	1	0
tnaflix	1	0	0	0	1	0
yourfreeporn	1	0	0	0	1	0
yuvutu	1	0	0	0	1	0
free18	1	0	0	0	1	0
shufuni	1	0	0	0	1	0
8freeporn	1	0	0	0	1	0
onlymovies	1	0	0	0	1	0
foreboxxx	1	0	0	0	1	0
nicesextube	1	0	1	0	1	0
porn365	1	0	0	0	1	0
myfreepaysite	1	0	0	0	1	0
libraryofthumbs	1	0	0	0	1	0
slutload	1	0	0	0	1	0
extremetube	1	0	0	0	1	0
empflix	1	0	0	0	1	0
hooktube	1	0	0	0	1	0
tiava	1	0	0	0	1	0
drtuber	1	0	0	0	1	0
youngleafs	1	0	0	0	1	0
nudevista	1	0	0	0	1	0
tubekitty	1	0	0	0	1	0
video-one	1	0	0	0	1	0
tubegals	1	0	0	0	1	0
rawtube	1	0	0	0	1	0
hotshag	1	0	0	0	1	0
nuvid	1	0	0	0	1	0
elephantlist	1	0	0	0	1	0
freeones	1	0	0	0	1	0
bravoteens	1	0	0	0	1	0
ovguide	1	0	0	0	1	0
lubetube	1	0	0	0	1	0
submityourflicks	1	0	0	0	1	0
4tube	1	0	0	0	1	0
xshare	1	0	0	0	1	0
wowtgp	1	0	0	0	1	0
picpost	1	0	0	0	1	0
xxnl	1	0	0	0	1	0
pornerbros	0	0	1	0	1	0
xxxbunker	0	0	1	0	1	0
photobucket	1	0	0	0	1	0
s e x	1	0	0	0	1	0
tinychat	1	0	0	1	1	0
bl0wj0b	1	0	0	0	1	0
blovvjob	1	0	0	0	1	0
wh0re	1	0	0	0	1	0
b i t c h	1	0	1	0	1	1
p£nis	1	0	0	0	1	0
orgasmic	1	1	0	0	1	0
phuke	1	0	0	0	1	0
BDSM	1	1	1	0	1	1
bellywhacker	1	1	1	0	1	1
bondage	1	0	1	0	1	0
bootiecall	1	0	1	0	1	1
bootycall	1	0	1	0	1	1
btch	1	0	0	0	1	0
camcult	1	0	0	0	1	0
clitoris	1	0	0	0	1	0
comeshot	1	0	0	0	1	0
Coitus	1	0	0	0	1	0
Makinglove	1	0	0	0	1	0
Boning	1	0	1	0	1	0
Dikwad	1	0	0	0	1	0
doggystyle	1	0	0	0	1	0
dothenasty	1	0	0	0	1	0
dum as	1	0	0	0	1	0
erection	1	0	0	0	1	0
erotic	1	0	0	0	1	0
erotica	1	0	0	0	1	0
fisting	1	0	1	0	1	0
fuckyou	1	0	0	0	1	0
gayass	1	0	0	0	1	0
hooters	1	1	0	0	1	0
gmail	0	0	0	1	1	0
gokkun	1	0	0	0	1	1
hotmail	1	0	0	1	1	0
humps	1	0	0	0	1	0
jailbait	1	0	0	0	1	0
jisum	1	0	0	1	1	0
masturbation	0	0	1	0	1	0
matherfacker	1	0	0	0	1	0
Ménage à trois	1	0	0	0	1	0
Menage e twa	1	0	0	0	1	0
muthf	1	0	0	0	1	0
mthfker	1	0	0	0	1	0
msn	1	0	0	1	1	1
pedophile	1	1	1	0	1	0
prostitute	1	1	1	0	1	0
Pusy	1	0	0	0	1	0
skanky	1	0	0	0	1	0
smexi	1	0	1	0	1	0
