word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
svin	1	0	0	0	1	0
oral	1	0	0	0	1	0
anal	1	1	0	1	1	0
lebbe	1	0	0	0	1	0
pik	1	0	1	1	1	0
kusse	1	0	1	0	1	0
kuse	1	0	1	0	1	0
fisse	1	1	1	1	1	0
fise	1	1	0	1	1	0
røvhul	1	0	0	0	1	0
luder	1	0	1	0	1	0
ludder	1	0	1	0	1	0
dulle	1	0	0	0	1	0
kneppe	1	1	1	0	1	0
knepe	1	1	1	0	1	0
diller	1	0	1	0	1	0
diler	1	0	1	0	1	0
bøsse	1	0	0	0	1	0
homo	1	0	0	0	1	0
kælling	1	0	1	0	1	0
bolle	1	1	1	1	1	0
narrøv	1	0	1	0	1	0
gay	1	0	1	0	1	0
tissemand	0	0	1	1	1	0
tisemand	0	0	1	1	1	0
perker	1	0	1	0	1	0
nigger	1	0	1	0	1	0
shit	1	0	0	0	1	0
dule	1	0	0	0	1	0
sæk	1	0	0	0	1	0
klit	1	0	0	1	0	0
røv	1	0	0	0	1	0
p!k	1	0	0	0	1	0
piik	1	0	0	0	1	0
piiik	1	0	0	0	1	0
s£x	1	0	0	0	1	0
sex	1	0	1	0	1	0
seex	1	0	0	0	1	0
seeex	1	0	0	0	1	0
sexx	1	0	1	0	1	0
fucking	1	1	0	0	1	0
fuck	0	0	1	0	1	0
orgasme	1	0	0	1	1	0
p1k	1	0	0	0	1	0
fizz	1	0	0	0	1	0
fizze	1	0	0	0	1	0
fuck!ng	1	1	0	0	1	0
s£	1	0	0	0	1	0
s#x	1	0	0	0	1	0
s3x	1	0	0	0	1	0
lort	1	0	0	0	1	0
cam	1	0	0	1	0	0
patter	1	0	0	0	1	0
seeeex	1	0	0	0	1	0
voldtage	1	0	0	0	1	0
kneppet	1	1	0	0	1	0
webcam	1	0	0	1	1	0
fucck	1	0	0	0	1	0
s''x	1	0	0	0	1	0
s"x	1	0	0	0	1	0
fxck	1	0	0	0	1	0
fxcker	1	0	0	0	1	0
bålle	1	0	0	0	1	0
Røvpuler	1	0	0	0	1	0
rape	1	0	0	1	0	0
raper	1	0	0	0	1	0
f i s s e	1	1	0	1	1	0
læbbe	1	0	0	0	1	0
voldkn3ppe	1	0	0	0	1	0
sxs	1	0	0	0	1	0
knalle	1	1	0	0	1	0
b!tch	1	0	0	0	1	0
brolle	1	0	0	0	1	0
l_der	1	0	0	0	1	0
nigga	1	0	0	0	1	0
stripper	1	0	0	0	1	0
lesbisk	1	0	0	0	1	0
røvkælling	1	0	0	0	1	0
selvmord	1	1	1	1	1	0
pikk	1	0	0	0	1	0
voltage	1	0	0	0	1	0
porno	1	1	1	1	1	0
p0rno	1	0	0	0	1	0
p0rn0	1	0	0	0	1	0
porn0	1	1	1	1	1	0
pono	1	0	0	0	1	0
ssex	1	0	1	0	1	0
l3bbe	1	0	0	0	1	0
l3bber	1	0	0	0	1	0
facking	1	0	0	0	1	0
fåking	1	0	0	0	1	0
fåcking	1	0	0	0	1	0
voldtægt	1	1	1	1	1	0
kælliiing	1	0	0	0	1	0
kælliing	1	0	0	0	1	0
pædo	1	0	0	1	0	0
liderlig	0	0	0	1	1	0
pikhoved	1	0	0	0	1	0
ornaneret	1	0	0	1	1	0
ornanere	1	0	0	1	1	0
voldtag	1	1	0	0	1	0
2 Guys 1 Horse	1	0	0	0	1	0
2 guys 1 stump	1	0	0	0	1	0
2girls 1cup	1	0	0	0	1	0
2girls1cup	1	0	0	0	1	0
Prolapse Man	1	0	0	0	1	0
TubGirl	1	0	0	0	1	0
pikantilope	1	0	0	0	1	0
røvspasser	1	0	0	0	1	0
piksvin	1	0	0	0	1	0
drug	1	1	0	0	1	0
weeeed	1	0	0	0	1	0
cannabis	1	0	0	0	1	0
cocain	1	1	1	0	1	0
drugs	1	0	0	0	1	0
hash	1	0	0	0	1	0
marijuana	1	1	1	0	1	0
1 Girl 1 Pitcher	1	0	0	0	1	0
1 Guy 1 Cock	1	0	0	0	1	0
1 man 1 jar	1	0	0	0	1	0
1 Priest 1 Nun	1	0	0	0	1	0
1man1jar	1	0	0	0	1	0
2 girls 1 cup	1	0	0	0	1	0
2 girls 1 finger	1	0	0	0	1	0
2girls 1finger	1	0	0	0	1	0
2girls1cup	1	0	0	0	1	0
2girls1finger	1	0	0	0	1	0
2guys 1stump	1	0	0	0	1	0
2guys1stump	1	0	0	0	1	0
3 Guys 1 Hammer	1	0	0	0	1	0
3guys 1hammer	1	0	0	0	1	0
3guys1hammer	1	0	0	0	1	0
4 Girls Fingerpaint	1	0	0	0	1	0
4girls fingerpaint	1	0	0	0	1	0
4girlsfingerpaint	1	0	0	0	1	0
alcohol	1	0	0	0	1	0
ass lick	1	0	0	0	1	0
asses	1	0	0	0	1	0
bøserøvv	1	0	0	0	1	0
strip	1	0	0	0	1	0
snaver	1	0	0	0	1	0
