word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
schlampe	1	0	0	0	1	0
pimmel	1	0	0	0	1	0
schwanz	1	0	0	0	1	0
pimmeln	1	0	0	0	1	0
gehobelt	1	0	0	0	1	0
geschlechtsverkehr	1	0	0	1	1	0
sex	1	0	1	1	1	0
nutte	1	0	0	0	1	0
prostituerte	1	0	0	1	1	0
hure	1	0	0	0	1	0
muschi	1	0	0	0	1	0
pullermann	1	0	0	0	1	0
piephahn	1	0	0	0	1	0
titten	1	0	0	0	1	0
brust	1	0	0	1	1	0
brüste	1	0	0	1	1	0
zicke	1	0	0	0	1	0
vettel	1	0	0	0	1	0
dirne	1	0	0	0	1	0
fuck	0	0	1	0	1	0
scheiss	1	0	0	0	1	0
scheiß	1	0	0	0	1	0
schwul	1	0	0	0	1	0
homo	1	0	0	0	1	0
lesbisch	1	0	0	0	1	0
lesbierin	1	0	0	0	1	0
lesbe	1	0	0	0	1	0
fick	1	0	0	0	1	0
bumsen	1	0	0	0	1	0
vögeln	1	0	0	0	1	0
blowjob	1	0	0	1	1	0
fuck	0	0	1	0	1	0
dildo	1	0	0	0	1	0
bitch	1	0	0	0	1	0
kitzler	1	0	0	1	1	0
arsch	1	0	0	0	1	0
masturbier	1	0	1	1	1	0
nazi	1	0	0	0	1	0
nationalsozialist	1	0	0	0	1	0
hoden	1	0	0	0	1	0
popo	1	0	0	0	1	0
anus	1	0	1	1	1	0
dick	1	0	0	0	1	0
huhre	1	0	0	0	1	0
hurre	1	0	0	0	1	0
nudde	1	0	0	0	1	0
nute	1	0	0	0	1	0
bordsteinschwalbe	1	0	0	0	1	0
fotze	1	0	0	0	1	0
fottze	1	0	0	0	1	0
vixer	1	0	0	0	1	0
fixer	1	0	0	0	1	0
wixer	1	0	0	0	1	0
shlampe	1	0	0	0	1	0
sclampe	1	0	0	0	1	0
schlammpe	1	0	0	0	1	0
hässlon	1	0	0	0	1	0
hobbylos	1	0	0	0	1	0
fickschnitzel	1	0	0	0	1	0
fik	1	0	0	0	1	0
ficken	1	0	1	0	1	1
fiken	1	0	0	0	1	0
fiicken	1	0	0	0	1	0
scheide	1	0	0	1	1	0
möse	1	0	0	0	1	0
mumu	1	0	0	0	1	0
fotzengehopse	1	0	0	0	1	0
wixfish	1	0	0	0	1	0
wixfisch	1	0	0	0	1	0
b!tch	1	0	0	0	1	0
piller	1	0	0	0	1	0
pillermann	1	0	0	0	1	0
bumsnudel	1	0	0	0	1	0
bummsen	1	0	0	0	1	0
tittis	1	0	0	0	1	0
titen	1	0	0	0	1	0
brustwarze	1	0	0	1	1	0
meine tage	1	0	0	0	1	0
blödi	1	0	0	0	1	0
dumkopf	1	0	0	0	1	0
pissflitsche	1	0	0	0	1	0
kackbratze	1	0	0	0	1	0
zuhälter	1	0	0	0	1	0
wegelagerer	1	0	0	0	1	0
fickfotze	1	0	0	0	1	0
knasti	1	0	0	0	1	0
kiffen	1	0	0	0	1	0
saufen	1	0	0	0	1	0
besoffen	1	0	0	0	1	0
bekifft	1	0	0	0	1	0
gewixt	1	0	0	0	1	0
wixen	1	0	0	0	1	0
einen runterholen	1	0	0	1	1	0
runterholen	1	0	0	0	1	0
poppen	1	0	0	0	1	0
popen	1	0	0	0	1	0
anal	1	0	1	1	1	0
analfistel	1	0	0	0	1	0
hurenficker	1	0	0	0	1	0
mutterficker	1	0	0	0	1	0
betrunken	1	0	0	0	1	0
weed	1	0	0	0	1	0
heroin	1	0	0	0	1	0
lsd	1	0	0	0	1	0
speed	1	0	0	0	1	0
vagina	1	0	1	1	1	0
fladderfotze	1	0	0	0	1	0
flatterfotze	1	0	0	0	1	0
fotse	1	0	0	0	1	0
votze	1	0	0	0	1	0
votse	1	0	0	0	1	0
schirch	1	0	0	0	1	0
misthgeburt	1	0	0	0	1	0
mistgeburt	1	0	0	0	1	0
missgeburt	1	0	0	0	1	0
zike	1	0	0	0	1	0
opfer	1	0	0	0	1	0
opfa	1	0	0	0	1	0
opfah	1	0	0	0	1	0
schwuuli	1	0	0	0	1	0
schwuul	1	0	0	0	1	0
lespisch	1	0	0	0	1	0
lespe	1	0	0	0	1	0
ziecke	1	0	0	0	1	0
wtf	1	0	0	0	1	0
sexy	1	0	1	0	1	0
sexii	1	0	1	0	1	0
sexi	1	0	1	0	1	0
fresse	1	0	0	0	1	0
penna	1	0	0	0	1	0
penner	1	0	0	0	1	0
