word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
salope	1	0	0	0	1	0
connasse	1	0	0	0	1	0
connard	1	0	0	0	1	0
tapette	1	0	0	0	1	0
bite	1	1	1	1	1	1
trou du cul	1	0	0	0	1	0
trouduc	1	0	0	0	1	0
merde	1	0	0	0	1	0
testicules	1	0	0	0	1	0
testicule	1	0	0	0	1	0
chatte	1	0	0	1	0	0
branlette	1	0	0	1	1	0
branler	1	0	0	1	1	0
branleur	1	0	0	0	1	0
tetons	1	0	0	1	1	0
seins	1	0	0	1	1	0
sein	1	0	0	1	1	0
putain	1	0	0	0	1	0
chaudasse	1	1	1	0	1	0
sexy	1	0	1	0	1	0
sexe	1	0	1	1	1	0
pussy	1	0	0	1	1	0
negre	1	0	0	0	1	0
nazi	1	0	0	0	1	0
nazis	1	0	0	0	1	0
masturber	1	0	0	1	1	0
masturbation	1	0	0	1	1	0
lesbiennes	1	1	1	0	1	0
lesbienne	0	1	1	0	1	0
gods	1	0	0	0	1	0
godemiche	1	0	0	1	1	0
ejaculer	1	0	0	1	1	0
sucer	1	0	0	1	1	0
encule	1	0	0	0	1	0
enculer	1	0	0	0	1	0
sperme	1	0	0	1	1	0
clito	1	0	0	1	1	0
clitoris	1	0	0	1	1	0
cul	1	0	0	0	1	0
baiser	1	0	0	1	1	0
batard	1	0	1	0	1	0
con	1	0	0	0	1	0
conne	1	0	0	0	1	0
chienne	1	0	0	1	0	0
pipe	1	0	0	1	1	0
saloperie	1	0	0	0	1	0
fils de pute	1	1	1	0	1	0
ta gueule	1	0	0	0	1	0
zob	1	0	0	0	1	0
enfoire	1	0	0	0	1	0
salaud	1	0	0	0	1	0
salopard	1	0	0	0	1	0
emmerdeur	1	0	0	0	1	0
merdeux	1	0	0	0	1	0
poufiasse	1	0	0	0	1	0
tete de neu	1	0	0	0	1	0
neuneu	1	0	0	0	1	0
va te faire foutre	1	0	0	0	1	0
ca me fais chier	1	0	0	0	1	0
ras le cul	1	0	0	0	1	0
casse-burnes	1	0	0	0	1	0
salop	1	0	0	0	1	0
nike	1	0	0	0	1	0
nike	1	0	0	0	1	0
baise	1	0	0	1	1	0
kon	1	0	0	0	1	0
grosse vache	1	0	0	0	1	0
pede	1	0	0	0	1	0
gouine	1	0	0	0	1	0
lopette	1	0	0	0	1	0
tafiole	1	0	0	0	1	0
fiotte	1	0	0	0	1	0
branleuse	1	0	0	0	1	0
anus	1	0	0	1	1	0
foutre	1	0	0	0	1	0
merdeux	1	0	0	0	1	0
merdeuse	1	0	0	0	1	0
