word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
drittsekk	1	0	0	0	1	0
rasshol	1	0	0	0	1	0
fitte	0	0	1	1	1	0
pikk	1	0	1	1	1	0
knulle	0	0	1	1	1	0
pule	1	0	0	1	1	0
lesper	1	0	0	0	1	0
homse	1	0	0	0	1	0
rasshøl	0	0	1	0	1	0
sex	1	0	1	1	1	0
jævla	0	0	1	0	1	0
faen	0	0	1	0	1	0
fittehull	0	0	1	1	1	0
homo	1	0	1	0	1	0
forpult	1	0	0	0	1	0
bitch	1	0	0	0	1	0
klitoris	0	0	1	1	1	0
b!tch	1	0	0	0	1	0
b17ch	1	0	0	0	1	0
b1tch	1	0	0	0	1	0
kuuk	0	0	1	0	1	0
klitta	1	0	0	0	1	0
sæd	1	0	0	1	1	0
dildo	1	0	0	0	1	0
feiten	1	0	0	0	1	0
fuk	1	0	0	0	1	0
fcuk	1	0	0	0	1	0
masturbere	0	0	1	1	1	0
morraknuller	1	0	1	1	1	0
nazi	0	0	1	0	1	0
nigger	0	0	1	0	1	0
nigga	0	0	1	0	1	0
pimp	1	0	0	0	1	0
pussy	0	0	1	0	1	0
dritt	1	0	0	0	1	0
pupper	1	0	1	1	1	0
puppa	1	0	0	0	1	0
testikkel	1	0	0	0	1	0
brystvorte	1	0	1	1	1	0
rompe slikking	1	0	0	0	1	0
sugejobber	1	0	0	0	1	0
ståkuk	1	0	0	1	1	0
penishode	0	0	1	1	1	0
rompeknuller	1	0	1	1	1	0
rompe hår	1	0	0	0	1	0
kuker	1	0	0	1	1	0
kuksuging	0	0	1	1	1	0
kuksugd	1	0	0	1	1	0
kuksuger	0	0	1	1	1	0
spærm	1	0	0	0	1	0
fitteslikking	0	0	1	1	1	0
fitteslikker	0	0	1	1	1	0
fitter	0	0	1	1	1	0
cyberknulle	0	0	1	1	1	0
cyberknull	1	0	0	0	1	0
cyberknullet	0	0	1	1	1	0
penis	0	0	1	1	1	0
ejakuert	1	0	0	0	1	0
fatso	1	0	0	0	1	0
fingerpult	1	0	0	0	1	0
fingerpule	0	0	1	1	1	0
fingerknulling	1	0	0	0	1	0
fistfuck	1	0	0	0	1	0
pult	1	0	0	0	1	0
knullere	1	0	1	1	1	0
knullmeg	1	0	0	0	1	0
hetsex	1	0	1	1	1	0
kåt	0	0	1	0	1	0
kåtest	1	0	0	0	1	0
kondom	1	0	0	0	1	0
niggers	0	0	1	0	1	0
orgasme	0	0	1	1	1	0
telefonsex	1	0	1	1	1	0
duster	1	0	0	0	1	0
bæsje	1	0	0	0	1	0
kan du komme over til mitt hus	1	0	0	0	1	0
kidnapper	1	0	0	0	1	0
faan	1	0	0	0	1	0
fuckings	1	0	0	0	1	0
jævel	1	0	0	0	1	0
jævli	1	0	0	0	1	0
suger	1	0	1	1	1	0
sexe	1	0	1	1	1	0
seexe	1	0	0	0	1	0
pono	1	0	0	0	1	0
pedo	1	0	0	1	1	0
HOMO!	1	0	1	1	0	0
FITTE!	0	0	1	1	1	0
PISS	1	0	0	0	1	0
Hvor bor du	1	0	0	1	1	0
Hva heter du irl	1	0	0	0	1	0
pedobear	0	0	1	1	1	0
sexx	1	0	1	1	1	0
fingrer	1	0	0	0	1	0
ronke	0	0	1	0	1	0
fingret	1	0	0	0	1	0
ronker	0	0	1	0	1	0
ronket	1	0	0	0	1	0
fitta	1	0	0	0	1	0
tissen	1	0	1	1	1	0
fiste	1	0	1	1	1	0
