word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
dziwka	1	0	1	0	1	0
kutas	1	0	1	1	1	0
obciąganie	1	0	0	0	1	0
pierdolić	1	0	0	0	1	0
dupa	1	0	0	0	1	0
lizać	1	0	0	0	1	0
dupek	1	0	0	0	1	0
cwel	1	0	0	0	1	0
pedał	1	0	1	0	1	0
sperma	0	0	1	1	1	0
anal	1	0	0	0	1	0
skopać dupę	1	0	0	0	1	0
puszczalska	1	0	0	0	1	0
lesbijka	1	0	1	0	1	0
pizda	1	0	1	0	1	0
kurwa	1	0	1	0	1	0
szmata	1	0	0	0	1	0
cycki	1	0	0	0	1	0
orgazm	1	0	1	1	1	0
bzykać	1	0	0	0	1	0
seks	1	0	1	1	1	0
wsadzić w dupę	1	0	0	0	1	0
skurwysyn	1	0	1	0	1	0
cipa	1	0	1	1	1	0
penis	1	0	1	1	1	0
wagina	1	0	0	0	1	0
wytrysk	1	0	0	1	1	0
gej	1	0	1	0	1	0
gówno	1	0	0	0	1	0
srać	1	0	0	0	1	0
wysrać	1	0	0	0	1	0
ciota	1	0	0	0	1	0
lesba	1	0	1	0	1	0
ssać	1	0	0	0	1	0
sikać	1	0	0	0	1	0
spierdalać	1	0	0	0	1	0
piersi	1	0	0	1	1	0
masturbator	1	0	0	0	1	0
szczytować	1	0	0	0	1	0
seksowny	1	0	1	0	1	0
seksić	1	0	0	0	1	0
onanizować	1	0	0	0	1	0
kurwić	1	0	0	0	1	0
przypierdolić	1	0	0	0	1	0
czarnuch	1	0	0	0	1	0
sex	1	0	1	0	1	0
qurwa	1	0	0	0	1	0
dziwki	1	0	0	0	1	0
huj	1	0	1	0	1	0
chuj	1	0	1	0	1	0
prostytutka	1	0	1	0	1	0
zdzira	1	0	0	0	1	0
pizdy	1	0	0	0	1	0
kurewka	1	0	0	0	1	0
kurwiszon	1	0	0	0	1	0
kurwy	1	0	0	0	1	0
ruchanie	1	0	1	0	1	0
ruchacz	1	0	1	0	1	0
ruchaj	1	0	0	0	1	0
ruchajcie	1	0	0	0	1	0
bzykanie	1	0	0	0	1	0
bzyknij	1	0	0	0	1	0
bzykaj	1	0	0	0	1	0
pedofil	1	0	1	1	1	0
lafirynda	1	0	0	0	1	0
striptiz	1	0	0	0	1	0
striptizer	1	0	1	0	1	0
striptizerka	1	0	1	0	1	0
cipka	1	0	1	1	1	0
cipeczka	1	0	0	0	1	0
cipunia	1	0	0	0	1	0
cipcia	1	0	0	0	1	0
hujek	1	0	0	0	1	0
chujek	1	0	0	0	1	0
hujowy	1	0	0	0	1	0
hujowo	1	0	0	0	1	0
chujowy	1	0	0	0	1	0
chujowo	1	0	0	0	1	0
kutasek	1	0	0	0	1	0
penisa	1	0	0	0	1	0
kondon	1	0	0	0	1	0
prezerwatywa	1	0	0	0	1	0
