word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
knulla	0	1	1	1	1	0
knola	1	0	0	0	1	0
knula	0	1	1	1	1	0
sexy	1	0	1	1	1	0
sexa	1	1	1	1	1	0
kuk	0	0	1	0	1	0
hora	1	1	1	1	1	0
snopp	1	1	1	1	1	0
snippa	1	1	1	1	1	0
luder	1	1	1	0	1	0
bög	1	1	1	0	1	0
lesbisk	0	1	1	0	1	0
lebb	1	1	0	0	1	0
jävla	0	0	1	0	1	0
neger	1	1	1	0	1	0
svartskalle	1	0	1	0	1	0
blatte	1	1	0	0	1	0
röv	1	0	0	0	1	0
lösenord	1	0	0	0	1	0
lösen	1	0	0	0	1	0
kod	1	0	0	0	1	0
fuckhjärna	1	0	0	0	1	0
snop	1	1	0	1	1	1
knul	1	1	1	0	1	0
k n u l	1	1	1	0	1	0
pulla	1	1	0	1	1	0
quq	1	1	1	0	1	0
kåt	1	1	1	1	1	0
kåta	1	1	1	1	1	0
fittor	1	1	1	1	1	0
vagin	1	1	0	0	1	0
snusk	1	1	0	0	1	0
pedofil	1	1	1	1	1	0
runka	0	1	1	1	1	0
horor	1	1	0	0	1	1
penis	1	1	1	1	1	0
anus	1	1	1	1	1	1
våldtagen	1	1	0	0	1	0
våldäkt	1	1	0	0	1	0
sug kuk	1	1	0	1	1	0
cp	1	1	0	0	1	1
qnulla	1	1	0	0	1	0
qnull	1	1	0	0	1	0
webkamera	1	1	0	1	1	0
losen	1	1	0	0	1	0
lözen	1	0	0	0	1	0
lözzen	1	0	0	0	1	1
lozen	1	0	0	0	1	0
lozzen	1	0	0	0	1	1
fukjo	1	1	0	0	1	0
fukyo	1	1	0	0	1	1
dildo	0	1	1	1	1	0
gey	1	1	0	0	1	1
@SS	1	0	0	0	1	0
balle	1	1	0	0	1	0
knull	1	1	1	0	1	0
bröst	0	1	1	1	1	0
tutte	0	1	1	0	1	0
alkohol	0	0	1	0	1	0
skitstöv	0	0	1	0	1	0
tuttar	0	1	1	0	1	0
rövslick	0	1	1	0	1	0
horung	0	1	1	1	1	0
ballen	1	1	0	0	1	0
ballar	1	1	0	0	1	0
bitch	1	1	1	0	1	0
flata	1	0	0	0	1	0
flatan	1	0	0	0	1	0
flator	1	0	0	0	1	0
fitta	0	1	1	1	1	0
fittslick	0	1	1	1	1	0
avsugning	0	1	1	0	1	0
cybersex	0	1	1	1	1	0
rövknull	0	1	1	0	1	0
kuken	1	1	1	1	1	0
kukar	1	1	1	1	1	0
stånd	1	1	0	1	1	0
ståndet	1	1	0	1	1	0
stånden	1	1	0	1	1	0
byst	1	1	0	1	1	0
bystet	1	1	0	0	1	0
bysten	1	1	0	0	1	0
rövhål	0	1	1	0	1	0
testik	0	0	1	0	1	0
subba	0	1	1	0	1	0
subbor	1	0	0	0	1	0
skit	1	0	1	0	1	0
skita	1	0	1	0	1	0
skitit	1	0	1	0	1	0
bajsa	1	0	1	0	1	0
