word	matchWholeWord	isYoutube	isUsername	isAlert	isBlackList	isExactFiltering
it	1	0	0	0	1	1
oruspu	1	0	0	0	1	1
orospu çocuğu	1	0	0	0	1	1
götveren	1	0	0	0	1	1
top	1	0	0	0	1	1
kahpe	1	0	0	0	1	1
am	1	0	1	1	1	1
amına koydugum	1	0	0	0	1	1
manyak	1	0	0	0	1	1
pezevenk	1	0	0	0	1	1
salak	1	0	0	0	1	1
gerizekalı	1	0	0	0	1	1
zavallı	1	0	0	0	1	1
pislik	1	0	0	0	1	1
dingil	1	0	0	0	1	1
uyuz	1	0	0	0	1	1
zilli	1	0	0	0	1	1
oha	1	0	0	0	1	1
mal	1	0	0	0	1	1
şerefsiz	1	0	0	0	1	1
namussuz	1	0	0	0	1	1
becerdiğim	1	0	0	0	1	1
hıyar	1	0	0	0	1	1
sik	1	0	1	1	1	0
sikerim	1	0	0	0	1	0
anasını siktigimin	1	0	0	0	1	1
kilotunu siktiğim	1	0	0	1	1	1
faise	1	0	0	0	1	1
itin iti	1	0	0	0	1	1
inek oğlu inek	1	0	0	0	1	1
sokayım	1	0	0	0	1	1
yüzsüz	1	0	0	0	1	1
yuh	1	0	0	0	1	1
ohaa	1	0	0	0	1	1
yarrak	1	0	0	1	1	0
ulen	1	0	0	0	1	1
domuz	1	0	0	0	1	1
sapık	1	0	1	1	1	0
öküz	1	0	0	0	1	1
lan	1	0	0	0	1	1
ibne	1	0	0	0	1	1
ananı sikiyim	1	0	0	0	1	1
şifre	1	0	0	0	1	0
parolan	1	0	0	0	1	1
parola	1	0	0	0	1	1
adın ne	1	0	0	0	1	1
gerçekte adın ne	1	0	0	1	1	1
gerçek adın ne	1	0	0	1	1	1
amk	1	0	1	0	1	1
amcuk	1	0	0	0	1	1
siktir	1	0	0	0	1	1
sktr	1	0	0	0	1	1
facebook	1	1	1	1	1	0
lezbiyen	1	0	0	0	1	1
sevişelim	1	0	0	1	1	0
sevişmek isteyen	1	0	1	1	1	1
len	1	0	0	0	1	1
ulan	1	0	0	0	1	1
ula	1	0	0	0	1	1
sümüklü	1	0	0	0	1	1
sex	1	0	1	0	1	0
sex isteyen	1	0	1	0	1	1
yarramı yala	1	0	0	1	1	1
amımı yala	1	0	0	0	1	1
yaş kaç	1	0	0	1	1	1
kaç yaşındasın	1	0	0	1	1	1
nerde kalıyon	1	0	0	1	0	1
nerede kalıyorsun	1	0	0	1	0	1
kaçıncı sınıfa gidiyorsun	1	0	0	1	1	1
ad	1	0	0	0	1	1
yaş	1	0	0	1	1	1
piç	1	0	0	0	1	1
sikişelimmi	1	0	0	1	1	1
orospi	1	0	0	0	1	1
fuck	0	0	1	0	1	0
fuck you	1	0	0	0	1	1
sik beni	1	0	0	0	1	1
sike sike	1	0	0	0	1	1
sikerim seni	1	0	0	0	1	1
hayvanoğlu hayvan	1	0	0	0	1	1
züppe	1	0	0	0	1	1
gerzek	1	0	0	0	1	1
amcık	1	0	0	0	1	1
faişe	1	0	0	0	1	1
1 Girl 1 Pitcher	1	0	0	0	1	0
4girlsfingerpaint	1	0	0	0	1	0
1 Guy 1 Cock	1	0	0	0	1	0
1 man 1 jar	1	0	0	0	1	0
1 Priest 1 Nun	1	0	0	0	1	0
1man1jar	1	0	0	0	1	0
2 girls 1 cup	1	0	0	0	1	0
2 girls 1 finger	1	0	0	0	1	0
Taciz	1	0	0	0	1	0
seks	1	0	1	1	1	0
oç	1	0	0	0	1	1
seni sikeler	1	0	0	0	1	1
ORUŞPU ÇOCUĞU	1	0	0	0	1	1
yş	1	0	0	1	1	1
yavşak	1	0	0	0	1	1
öpüştünmü	1	0	0	1	1	1
salaklar	1	0	0	0	1	1
fakyu	1	0	0	0	1	1
mallar	1	0	0	0	1	1
göt lalesi	1	0	0	0	1	1
am suyu	1	0	0	0	1	1
sktir	1	0	0	0	1	1
sexy	1	0	1	0	1	0
amına koyayım	1	0	0	0	1	1
boşalayım	1	0	0	1	1	1
siktir git	1	0	0	0	1	1
kapa çeneni	1	0	0	0	1	1
sevişelim mi	1	0	0	1	1	1
yaragımı op	1	0	0	0	1	1
msnden sevıssek	1	0	0	1	1	1
yaragımı görmek ıstemezmisin	1	0	0	0	1	1
sexdir	1	0	1	0	1	1
kes lan	1	0	0	0	1	1
göt	1	0	0	0	1	1
yarranı yeyim	1	0	0	0	1	1
ebeni sikim	1	0	0	0	1	1
sapik	1	0	0	0	1	0
tipsiz	1	0	0	0	1	1
gerizekali	1	0	0	0	1	1
sex ısteyen	1	0	1	0	1	1
pıpı	1	0	0	1	1	0
pipi	1	0	0	1	1	0
sexs	1	0	1	0	1	0
bosalt kendini	1	0	0	0	1	1
bosal	1	0	0	1	1	1
cinsel	1	0	0	1	1	1
cinsellik	1	0	0	1	1	1
kaltak	1	0	0	0	1	1
kamm	1	0	0	1	0	1
kam	1	0	0	1	0	1
mastürbasyon	1	0	0	1	1	0
otuzbir	1	0	0	1	1	1
istimna	1	0	0	1	1	1
iççamaşırı	1	0	0	1	1	1
pedo	1	0	0	1	1	0
kamera	1	0	0	1	1	1
çıplak	1	0	0	1	0	1
boşalmak	1	0	0	1	1	1
meni	1	0	0	1	1	1
